JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
50,1.4770366570454965,1.0544253672816346,1.7259237441272584,0.2964665229087658,0.18840525215891066,0.06389336222944722,0.0014401925165174294,503.2019760148401,8.989721503953387,1.896504466327125,16.291806611585546,17.240058844749107,2.5,110.28816080093384
51,1.0328642013733869,0.9949235338813613,1.454329103437894,0.3335101860368815,0.1756083664439855,0.03028863730920732,0.0013812757492173242,540.4881827017231,2.4661236339912787,1.4673503960538983,3.497866273052104,4.231541471079053,2.5,112.51318383216858
52,1.4367673207967966,1.0538322650906444,2.260773889065105,0.2912145660004596,0.1968572163501861,0.04429026089101136,0.0014557182408189606,0.22875257992192033,25.487838750471052,1.787883194847035,49.872506395534735,50.766447992958255,2.5,116.24268293380737
53,1.1962106933853294,0.9820518463335438,1.5294414783820596,0.38902463849330393,0.10120264795742998,0.06019520811115543,0.001492606986016225,61.939624385074495,21.01693585555967,1.4330225568675317,41.17196692983269,41.888478208266456,2.5,112.00004005432129
54,0.9664554819561804,1.0307728538565553,2.4133770460649036,0.3333457365835234,0.12705931466784529,0.07485557284644337,0.001308022969047867,0.2073305458021757,17.574391443468652,1.4557449639992979,34.16305785139089,34.890930333390536,2.5,141.67384672164917
55,1.516815364994534,0.916497211713028,2.544933314515449,0.36281028239503377,0.17218608580256467,0.08967506353205207,0.0013267238287407088,0.03971281027856932,25.655851919839836,1.746900808589405,50.25730309594012,51.13075350023482,2.5,123.52579522132874
56,1.5822445134963257,0.9419417854406978,1.8254497391363336,0.34389499505082877,0.1409464590048865,0.034377137023472164,0.001453238577433998,64.55328709233888,14.264226810286369,1.5684440463176361,27.328553749504405,28.112775772663223,2.5,114.56224989891052
57,1.4375401207587788,1.0662164804835836,1.5348281751755168,0.3583259238735641,0.1298738387487703,0.05993373992598802,0.001307499199354693,59.46546225548417,14.785733219968167,1.5208363018528812,28.438043809100563,29.198461960027004,2.5,116.09395241737366
58,1.459118900052116,1.0712151337997529,1.0563930023176447,0.3706633691030067,0.1911469070970297,0.08884896941753931,0.001390129058983725,644.2705562956563,4.887019752080922,1.7809514433768214,8.087401821785884,8.977877543474294,2.5,113.50941801071167
59,1.2991439979719004,0.9029213497616638,2.2601269757162514,0.28116709929087746,0.12215414488611347,0.08872361051208434,0.0013450128530103618,0.10372672647536163,23.86974473777171,1.71241894900105,46.66657163223413,47.522781106734655,2.5,112.24864101409912
60,0.9763592029818247,1.0920970429857948,1.075605776888156,0.29531989735445474,0.18802483144220378,0.059553934263795516,0.0014615447811790856,109.03725948650748,19.23187568283928,1.6521273458950037,37.32793888482869,38.154002557776195,2.5,111.62933874130249
61,1.5365752485313442,0.9593875889782045,1.4665128940602363,0.2631775419883507,0.12784238666922385,0.03114523954384134,0.0014087097767899728,0.029289521864672707,14.976248740161292,1.6489981684616162,28.697076476646643,29.52157556087745,2.5,112.91322445869446
62,1.2187609565301636,0.9533190099325645,2.1252618078177434,0.3306638525294577,0.1818702373405486,0.07402853024843208,0.0014745652384201891,0.020034401642643473,22.202132283695125,1.7221853180919122,43.276500165467716,44.137592824513675,2.5,112.26819729804993
63,1.4053717965251191,1.068570617860893,1.2583001972493308,0.36445980076996404,0.11753667930041481,0.06548632723949101,0.0014807317802539967,111.86888981162247,13.63338278970257,1.5091459973075843,26.11777491867606,26.87234791732985,2.5,114.00993371009827
64,1.0188006360334378,0.9558445832428626,1.1114491234962882,0.25154336211808703,0.18949447451289175,0.03547489429632185,0.0014667867415277638,106.47186622399599,15.043429612853537,1.6031753044618104,28.87587350679222,29.677461159023125,2.5,113.60740542411804
65,1.191136721130813,1.0563222343898726,2.2857254743641624,0.33489649199750127,0.15803534876794487,0.08629592459880422,0.0013304527522374247,0.06819393596604328,20.52895476765286,1.657747017913779,39.94909647145477,40.77796998041166,2.5,112.20535039901733
66,1.5550365138689073,1.006953765992777,1.5369897234607521,0.3114861474124605,0.1393975870129175,0.042307531901728576,0.0014761101424425299,343.943516566841,9.102965389792855,1.6379075689605547,16.78891579172599,17.60786957620627,2.5,111.13753747940063
67,1.1832730102284785,1.0177843383653586,1.872384829836564,0.36070977756919587,0.18107837970782553,0.07094650732466204,0.001483223598232711,0.2543638610487342,22.368934468495617,1.6325119568532864,43.70510129263995,44.5213572710666,2.5,112.38964462280273
68,1.026281829589078,1.0793558899628473,0.9475767226555353,0.3492504094611046,0.12276215397849187,0.061206746456627895,0.0014856016911103246,418.01388548116387,6.321514588160236,1.4411572520310112,11.346036287425006,12.066614913440512,2.5,113.63695549964905
69,1.5138533813125572,1.0943083381505831,2.3721811518595777,0.26479443430129274,0.18383260534258825,0.055271330111551525,0.0014233743247313167,0.15016623792361017,28.743885598891158,1.980500537727614,56.28540859890418,57.27565886776799,2.5,113.80031681060791
70,1.0402841540068961,1.0761765729881259,2.5355995827988353,0.26816224569478764,0.13915904816693478,0.042093934887339424,0.0014063139950713595,61.44695978196495,16.02735563703289,1.5676915976953825,30.905276498295766,31.689122297143456,2.5,137.49470281600952
71,1.0853440686515698,1.020205332555578,2.543542599590552,0.2967623437105611,0.13460041956296787,0.041444911289309445,0.0014046930656739026,0.13301746678271442,18.17846840236597,1.5143078243873145,35.33303844957506,36.090192361768715,2.5,111.03743410110474
